Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,BB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,FIP,xFIP,GB%,FB%,SwStr%,PlayerId
Austin Cox,ATL,AAA,28,2,4,4.28,31,1,0,0,1,1,,40,178,46,23,17,1,5,1,36,8.10,3.83,2.12,1.13,20.2,9.6,10.7,1.58,0.345,4.67,4.75,42.6,32.8,11.4,24604
Jonathan Bowlan,KCR,AAA,28,3,0,2.25,24,0,0,0,5,3,,36,142,23,9,11,2,2,0,45,11.25,2.75,4.09,0.25,31.7,7.7,23.9,0.94,0.265,2.44,3.31,51.2,31.0,14.1,24607
Kelvin Caceres,LAA,AA,25,0,4,5.50,30,0,0,0,0,1,,36,179,49,30,27,5,7,0,42,10.50,6.75,1.56,0.50,23.5,15.1,8.4,2.11,0.456,4.24,4.35,41.7,27.2,12.6,24681
Luis Curvelo,TEX,AAA,24,3,3,3.76,36,0,0,0,2,3,,40.2,180,34,19,19,5,7,0,41,9.07,4.20,2.16,0.89,22.8,10.6,12.2,1.30,0.270,5.00,5.57,50.4,36.3,11.6,24710
Mike Burrows,PIT,AAA,25,2,1,2.51,8,7,0,0,0,0,,32.1,130,23,10,11,0,0,0,41,11.41,3.06,3.73,1.67,31.5,8.5,23.1,1.05,0.236,4.39,3.83,37.7,45.5,14.4,24728
Ryan Fernandez,STL,AAA,27,4,1,3.12,29,0,0,0,2,0,,34.2,147,23,12,20,1,3,0,49,12.72,5.19,2.45,0.26,33.3,13.6,19.7,1.24,0.289,2.86,3.87,39.0,36.4,18.7,24862
Lazaro Estrada,TOR,AAA,26,4,7,5.73,26,20,0,0,0,0,,97.1,429,109,69,32,3,8,1,99,9.15,2.96,3.09,1.57,23.1,7.5,15.6,1.45,0.331,4.81,4.61,33.6,40.4,12.2,24914
Ethan Roberts,CHC,AAA,27,2,4,2.16,36,1,0,0,3,0,,41.2,181,35,18,20,3,1,1,54,11.66,4.32,2.70,0.43,29.8,11.0,18.8,1.32,0.324,3.18,3.91,35.7,33.7,12.1,24930
Austin Warren,NYM,AAA,29,8,4,4.97,34,4,0,0,1,3,,50.2,224,53,29,19,4,0,0,58,10.30,3.37,3.05,1.60,25.9,8.5,17.4,1.42,0.328,4.88,4.32,39.0,36.9,9.6,24937
Cooper Criswell,BOS,AAA,28,4,2,3.70,16,14,0,0,0,0,,65.2,277,60,30,28,4,2,1,68,9.32,3.84,2.43,0.82,24.5,10.1,14.4,1.34,0.316,4.07,3.93,49.4,23.3,11.4,24975
Colin Selby,BAL,AAA,27,3,0,2.45,25,0,0,0,2,2,,25.2,111,21,7,13,0,0,0,35,12.27,4.56,2.69,0.70,31.5,11.7,19.8,1.32,0.311,3.30,3.35,45.8,27.1,11.5,24986
Kody Funderburk,MIN,AAA,28,3,0,1.78,19,0,0,0,2,1,,25.1,104,18,6,9,3,3,0,25,8.88,3.20,2.78,0.71,24.0,8.7,15.4,1.07,0.246,3.97,3.96,56.3,23.4,11.3,24993
Evan Sisk,PIT,AAA,28,0,2,4.38,38,0,0,0,5,1,,37,172,46,20,15,1,0,1,42,10.22,3.65,2.80,0.97,24.4,8.7,15.7,1.65,0.382,3.93,3.54,61.6,19.6,11.7,24995
